Entry	Entry name	Status	Protein names	Gene names
B0LYE4	B0LYE4_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYE5	B0LYE5_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYE6	B0LYE6_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYE7	B0LYE7_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYE9	B0LYE9_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYF0	B0LYF0_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYF1	B0LYF1_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYF2	B0LYF2_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYF3	B0LYF3_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYF4	B0LYF4_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYF5	B0LYF5_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYF6	B0LYF6_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYF7	B0LYF7_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYF8	B0LYF8_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYF9	B0LYF9_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYG0	B0LYG0_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYG2	B0LYG2_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYG5	B0LYG5_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYG7	B0LYG7_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYG8	B0LYG8_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYH0	B0LYH0_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYH1	B0LYH1_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYH2	B0LYH2_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYH3	B0LYH3_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYH4	B0LYH4_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYH6	B0LYH6_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYH7	B0LYH7_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYH8	B0LYH8_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYH9	B0LYH9_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYI0	B0LYI0_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYI4	B0LYI4_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYI5	B0LYI5_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYJ5	B0LYJ5_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYJ6	B0LYJ6_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYJ7	B0LYJ7_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYJ8	B0LYJ8_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYK5	B0LYK5_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYK6	B0LYK6_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYK9	B0LYK9_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYL3	B0LYL3_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYL4	B0LYL4_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYL5	B0LYL5_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYL9	B0LYL9_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYM0	B0LYM0_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYM1	B0LYM1_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYM2	B0LYM2_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYM3	B0LYM3_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYM6	B0LYM6_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
B0LYN3	B0LYN3_ARATH	unreviewed	Beta-glucosidase 1 (Fragment)	BGL1
Q8LC95	ENL3_ARATH	reviewed	Early nodulin-like protein 3 (Phytocyanin-like protein)	At5g25090 T11H3_100
Q9CAC7	CRRS4_ARATH	reviewed	Cysteine-rich repeat secretory protein 4	CRRSP4 At1g63600 F24D7.20 F2K11.4
Q8H129	PPA3_ARATH	reviewed	Purple acid phosphatase 3 (EC 3.1.3.2)	PAP3 At1g14700 F10B6.10
Q8LE51	Q8LE51_ARATH	unreviewed	Protein yippee-like	At2g40110 F27I1.3 F27I1_3
O04098	O04098_ARATH	unreviewed	Receptor-kinase isolog, 5' partial; 115640-113643	T19D16.21
Q0WM66	Q0WM66_ARATH	unreviewed	Receptor-kinase isolog	At1g10860
Q56ZA8	Q56ZA8_ARATH	unreviewed	Receptor-kinase isolog	At1g10860
Q67ZT9	Q67ZT9_ARATH	unreviewed	Receptor-kinase isolog	At1g10860
Q8RWP2	Q8RWP2_ARATH	unreviewed	Receptor-kinase isolog	At1g10850
Q940B9	Q940B9_ARATH	unreviewed	Leucine-rich repeat protein kinase family protein (Putative receptor-kinase isolog) (Receptor-kinase isolog)	At1g10850 At1g10860
Q9SAB8	Q9SAB8_ARATH	unreviewed	T16B5.1 (Fragment)	T16B5.1
Q9XI01	PDI11_ARATH	reviewed	Protein disulfide isomerase-like 1-1 (AtPDIL1-1) (EC 5.3.4.1) (Protein disulfide-isomerase 1) (PDI 1) (Protein disulfide-isomerase 5) (AtPDI5)	PDIL1-1 PDI5 At1g21750 F8K7.19
Q9SRG3	PDI12_ARATH	reviewed	Protein disulfide isomerase-like 1-2 (AtPDIL1-2) (EC 5.3.4.1) (Protein disulfide-isomerase 2) (PDI 2) (Protein disulfide-isomerase 6) (AtPDI6)	PDIL1-2 PDI6 At1g77510 T5M16.10
Q56Z88	Q56Z88_ARATH	unreviewed	Putative thioredoxin (Fragment)	At1g77510
Q9SSG3	HIPL1_ARATH	reviewed	HIPL1 protein	HIPL1 At1g74790 F25A4.24
Q9FLD9	Q9FLD9_ARATH	unreviewed	Catalytics (Similarity to hedgehog-interacting protein)	MYH19.17 MYH19_17 At5g39970
O48809	LRX2_ARATH	reviewed	Leucine-rich repeat extensin-like protein 2 (AtLRX2) (LRR/EXTENSIN2) (Cell wall hydroxyproline-rich glycoprotein)	LRX2 At1g62440 F24O1.18 T3P18.1
Q9LS79	RLP38_ARATH	reviewed	Receptor-like protein 38 (AtRLP38)	RLP38 At3g23120 MXC7.16
Q9LS80	RLP37_ARATH	reviewed	Receptor-like protein 37 (AtRLP37) (Protein EMBRYO DEFECTIVE 2800)	RLP37 EMB2800 At3g23110 MXC7.15
Q1PEN0	RLP36_ARATH	reviewed	Receptor-like protein 36 (AtRLP36)	RLP36 At3g23010 MXC7.4
O65252	GL25_ARATH	reviewed	Probable germin-like protein subfamily 2 member 5	At5g26700 F21E10.2
Q541W3	Q541W3_ARATH	unreviewed	Germin-like protein	At5g26700/F21E10_2
Q8LEQ3	Q8LEQ3_ARATH	unreviewed	Germin-like protein	
O80434	LAC4_ARATH	reviewed	Laccase-4 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 4) (Diphenol oxidase 4) (Protein IRREGULAR XYLEM 12) (Urishiol oxidase 4)	IRX12 LAC4 At2g38080 F16M14.1
Q8L7Y9	NPC1_ARATH	reviewed	Non-specific phospholipase C1 (EC 3.1.-.-)	NPC1 At1g07230 F10K1.6
Q9LVD1	Q9LVD1_ARATH	unreviewed	Uncharacterized protein	
Q8W4D1	Q8W4D1_ARATH	unreviewed	At5g57270 (Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein) (Glycosyltransferase)	MJB24.8 MJB24_8 At5g57270 AT5G57270
Q8W4F9	Q8W4F9_ARATH	unreviewed	Uncharacterized protein At5g57270; MJB24.8	At5g57270 At5g57270/MJB24.8
Q8GRX1	BGL34_ARATH	reviewed	Myrosinase 4 (EC 3.2.1.147) (Beta-glucosidase 34) (AtBGLU34) (EC 3.2.1.21) (Sinigrinase 4) (Thioglucosidase 4)	TGG4 BGLU34 At1g47600 F16N3.11
Q3ECS3	BGL35_ARATH	reviewed	Myrosinase 5 (EC 3.2.1.147) (Beta-glucosidase 35) (AtBGLU35) (EC 3.2.1.21) (Sinigrinase 5) (Thioglucosidase 5)	TGG5 BGLU35 At1g51470 F5D21.17
C9WCP9	C9WCP9_ARATH	unreviewed	Beta-thioglucoside glucohydrolase (Myrosinase AtTGG6)	TGG6 At1g51490
Q9LSG3	GAUT8_ARATH	reviewed	Galacturonosyltransferase 8 (EC 2.4.1.-) (Glycosyltransferase QUASIMODO1)	GAUT8 QUA1 At3g25140 MJL12.8
Q9M9E0	LRKS1_ARATH	reviewed	L-type lectin-domain containing receptor kinase S.1 (LecRK-S.1) (EC 2.7.11.1)	LECRKS1 At1g15530 T16N11.4
Q9M9U0	XXT4_ARATH	reviewed	Xyloglucan 6-xylosyltransferase 4 (EC 2.4.2.39) (Putative glycosyltransferase 4) (AtGT4) (EC 2.4.-.-)	XXT4 GT4 At1g18690 F6A14.20
Q84VX7	Q84VX7_ARATH	unreviewed	At1g51540 (Galactose oxidase/kelch repeat superfamily protein)	At1g51540 F5D21.24 F5D21_24
Q9C8K6	Q9C8K6_ARATH	unreviewed	Uncharacterized protein F5D21.24	F5D21.24
Q9SN38	RLP51_ARATH	reviewed	Receptor-like protein 51 (AtRLP51) (Protein PUTATIVE DEVELOPMENTAL ORTHOLOG 1) (AtPDO1) (Protein SUPPRESSOR OF NPR1-1, CONSTITUTIVE 2)	RLP51 PDO1 SNC2 At4g18760 F28A21.170
Q9FZC4	FOX1_ARATH	reviewed	Berberine bridge enzyme-like 3 (AtBBE-like 3) (EC 1.1.1.-) (FAD-linked oxidoreductase) (EC 1.-.-.-) (Flavin-dependent oxidoreductase FOX1)	FOX1 FOX At1g26380 T1K7.24
O23072	O23072_ARATH	unreviewed	AT4g00300 protein (A_IG005I10.16 protein) (F5I10.16 protein)	A_IG005I10.16 F5I10.16 At4g00300
Q0WQL0	Q0WQL0_ARATH	unreviewed	Receptor-like kinase	A_IG005I10.16 A_IG005I10_16 AT4G00300.1 At4g00300 F5I10.16 F5I10_16
Q8H7B0	Q8H7B0_ARATH	unreviewed	Malectin_like domain-containing protein (Fragment)	
Q9SKB2	SBIR1_ARATH	reviewed	Leucine-rich repeat receptor-like serine/threonine/tyrosine-protein kinase SOBIR1 (EC 2.7.10.1) (EC 2.7.11.1) (Protein EVERSHED) (Protein SUPPRESSOR OF BIR1-1)	SOBIR1 EVR At2g31880 F20M17.8
P24806	XTH24_ARATH	reviewed	Xyloglucan endotransglucosylase/hydrolase protein 24 (At-XTH24) (XTH-24) (EC 2.4.1.207) (Endo-xyloglucan transferase) (Meristem protein 5) (MERI-5 protein) (MERI5 protein) (Xyloglucan endo-1,4-beta-D-glucanase)	XTH24 MERI-5 MERI5B SEN4 At4g30270 F9N11.120
Q0WLB0	Q0WLB0_ARATH	unreviewed	Xyloglucan endotransglucosylase/hydrolase (EC 2.4.1.207)	At4g30270
F4HWL4	SYYC2_ARATH	reviewed	Tyrosine--tRNA ligase 2, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	At1g28350 F3M18.22
Q8S9J2	SYYC1_ARATH	reviewed	Tyrosine--tRNA ligase 1, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	At2g33840 T1B8.14
Q0WNW2	Q0WNW2_ARATH	unreviewed	Putative tRNA (Met) cytidine acetyltransferase (tRNA (Met) cytidine acetyltransferase, putative (DUF616))	AT1G53040.1 At1g53040 F8L10.10 F8L10_10
Q9LNM9	Q9LNM9_ARATH	unreviewed	F8L10.10 protein	F8L10.10
Q9FN37	PSKR2_ARATH	reviewed	Phytosulfokine receptor 2 (AtPSKR2) (EC 2.7.11.1) (Phytosulfokine LRR receptor kinase 2)	PSKR2 At5g53890 K19P17.5
C0LGV8	C0LGV8_ARATH	unreviewed	Leucine-rich repeat receptor-like protein kinase (Fragment)	LRR-RLK At5g53890
Q8GZ17	COBL7_ARATH	reviewed	COBRA-like protein 7	COBL7 SEB1 At4g16120 dl4100c
Q96511	PER69_ARATH	reviewed	Peroxidase 69 (Atperox P69) (EC 1.11.1.7) (ATP3a)	PER69 P69 At5g64100 MHJ24.8
Q84M88	Q84M88_ARATH	unreviewed	At5g64100	
O04476	O04476_ARATH	unreviewed	F5I14.12 protein	F5I14.12
Q8L7S6	HEXO3_ARATH	reviewed	Beta-hexosaminidase 3 (EC 3.2.1.52) (Beta-GlcNAcase 3) (Beta-N-acetylhexosaminidase 3) (Beta-hexosaminidase 1) (AtHEX1) (N-acetyl-beta-glucosaminidase 3)	HEXO3 HEX1 At1g65590 F5I14.13
Q9CAY4	Q9CAY4_ARATH	unreviewed	At3g11420 (Beta-1,3-N-acetylglucosaminyltransferase lunatic protein, putative (DUF604)) (Glycosyltransferase)	F24K9.9 At3g11420 AT3G11420
Q94KD2	Q94KD2_ARATH	unreviewed	AT5g51950/MSG15_3 (Glucose-methanol-choline (GMC) oxidoreductase family protein)	MSG15.3 MSG15_3 At5g51950
Q9FJ97	Q9FJ97_ARATH	unreviewed	Mandelonitrile lyase-like protein	
Q56ZG6	Q56ZG6_ARATH	unreviewed	Uncharacterized protein At5g51950	At5g51950
Q9SCZ4	FERON_ARATH	reviewed	Receptor-like protein kinase FERONIA (EC 2.7.11.1) (Protein SIRENE)	FER AAK1 SIR SRN At3g51550 F26O13.190
Q9FNN0	Q9FNN0_ARATH	unreviewed	Calcium-binding EF hand family protein	MAH20.14 MAH20_14 At5g08580
Q9LKR3	MD37A_ARATH	reviewed	Mediator of RNA polymerase II transcription subunit 37a (Heat shock 70 kDa protein 11) (Heat shock protein 70-11) (AtHsp70-11) (Luminal-binding protein 1) (AtBP1) (BiP1)	MED37A BIP1 HSP70-11 MED37_5 At5g28540 T26D3.10 T26D3_50
Q39043	MD37F_ARATH	reviewed	Mediator of RNA polymerase II transcription subunit 37f (Heat shock 70 kDa protein 12) (Heat shock protein 70-12) (AtHsp70-12) (Luminal-binding protein 2) (AtBP2) (BiP2)	MED37F BIP BIP2 HSP70-11 MED37_6 At5g42020 MJC20.12
Q8GWW4	GUX2_ARATH	reviewed	UDP-glucuronate:xylan alpha-glucuronosyltransferase 2 (UDP-GlcA:xylan glucuronyltransferase 2) (EC 2.4.1.-) (Glycogenin-like protein 2) (Plant glycogenin-like starch initiation protein 3) (Protein GLUCURONIC ACID SUBSTITUTION OF XYLAN 2) (AtGUX2)	GUX2 PGSIP3 At4g33330/At4g33340 F17M5.90/F17M5.100
Q8LFQ4	Q8LFQ4_ARATH	unreviewed	Uncharacterized protein	
Q8VZN3	Q8VZN3_ARATH	unreviewed	Uncharacterized protein At5g16380	MQK4.11 MQK4_11 At5g16380
Q9FFE5	Q9FFE5_ARATH	unreviewed	Gb|AAF02163.1	
O49607	SBT16_ARATH	reviewed	Subtilisin-like protease SBT1.6 (EC 3.4.21.-) (Subtilase subfamily 1 member 6) (AtSBT1.6) (Subtilisin-like serine protease 2) (At-SLP2)	SBT1.6 SLP2 At4g34980 M4E13.40
Q9M263	GL24_ARATH	reviewed	Germin-like protein subfamily 2 member 4	GLP10 At3g62020 F21F14.190
A0JQ09	A0JQ09_ARATH	unreviewed	Germin-like protein	
Q3EAG0	Q3EAG0_ARATH	unreviewed	Germin-like protein	GLP10 germin-like protein 10 At3g62020
Q9LRM2	CRR17_ARATH	reviewed	Putative cysteine-rich repeat secretory protein 17	CRRSP17 At3g21910 MZN24.3
Q9FG39	PMTC_ARATH	reviewed	Probable methyltransferase PMT12 (EC 2.1.1.-)	At5g06050 K18J17.25
Q8VYF9	SRGT1_ARATH	reviewed	Peptidyl serine alpha-galactosyltransferase (AtSGT1) (EC 2.4.1.-)	SERGT1 SGT1 At3g01720 F28J7.5 F4P13.27
Q8LAH2	Q8LAH2_ARATH	unreviewed	Polygalacturonase-like protein	
Q8RWK6	Q8RWK6_ARATH	unreviewed	Pectin lyase-like superfamily protein	At3g06770
Q9M7Y3	Q9M7Y3_ARATH	unreviewed	F3E22.9 protein (Pectin lyase-like superfamily protein)	F3E22.9 At3g06770
O81916	YC22_ARATH	reviewed	Uncharacterized calcium-binding protein At1g02270	At1g02270 T6A9_9 T7I23.22
Q9LET2	Q9LET2_ARATH	unreviewed	AT3g56750/T8M16_80 (Plant/protein)	T8M16_80 AT3G56750.1 At3g56750 At3g56750/T8M16_80
O80672	O80672_ARATH	unreviewed	Uncharacterized protein At2g41150	
Q8L8B4	Q8L8B4_ARATH	unreviewed	Uncharacterized protein At2g41150/T3K9.8	At2g41150/T3K9.8
Q8L876	Q8L876_ARATH	unreviewed	Uncharacterized protein At2g41150/T3K9.8	At2g41150/T3K9.8
Q8GUH9	Q8GUH9_ARATH	unreviewed	At1g64385 (Transmembrane protein)	At1g64385
Q9SJ81	FLA7_ARATH	reviewed	Fasciclin-like arabinogalactan protein 7	FLA7 At2g04780 F28I8.18
Q9SYQ8	CLV1_ARATH	reviewed	Receptor protein kinase CLAVATA1 (EC 2.7.11.1)	CLV1 At1g75820 T4O12.5
C0LGJ2	C0LGJ2_ARATH	unreviewed	Leucine-rich repeat receptor-like protein kinase (Fragment)	LRR-RLK At1g75820
Q9LV98	Q9LV98_ARATH	unreviewed	Beta-1,3-glucanase (O-Glycosyl hydrolases family 17 protein)	MXK3.1 MXK3_1 At5g64790
Q9SYK0	HEXO2_ARATH	reviewed	Beta-hexosaminidase 2 (EC 3.2.1.52) (Beta-GlcNAcase 2) (Beta-N-acetylhexosaminidase 2) (Beta-hexosaminidase 3) (AtHEX3) (N-acetyl-beta-glucosaminidase 2)	HEXO2 HEX3 At1g05590 F3F20.4
Q9MA70	Q9MA70_ARATH	unreviewed	F2J6.11 protein	F2J6.11
O82399	MDHX1_ARATH	reviewed	Malate dehydrogenase 1, peroxisomal (EC 1.1.1.37) (Peroxisomal NAD-dependent malate dehydrogenase 1) (pxNAD-MDH1) (Peroxisomal malate dehydrogenase 1) (Peroxisomal MDH1)	PMDH1 At2g22780 T30L20.4
Q0WUS4	Q0WUS4_ARATH	unreviewed	Malate dehydrogenase (EC 1.1.1.37)	At2g22780
Q9ZP05	MDHX2_ARATH	reviewed	Malate dehydrogenase 2, peroxisomal (EC 1.1.1.37) (Microbody NAD-dependent malate dehydrogenase) (mbNAD-MDH) (Peroxisomal NAD-dependent malate dehydrogenase 2) (pxNAD-MDH2) (Peroxisomal malate dehydrogenase 2) (Peroxisomal MDH2)	PMDH2 At5g09660 F17I14_150 MTH16.8
B3H560	B3H560_ARATH	unreviewed	Malate dehydrogenase (EC 1.1.1.37)	PMDH2 At5g09660 F17I14.150 F17I14_150
A8MRP1	A8MRP1_ARATH	unreviewed	Malate dehydrogenase (EC 1.1.1.37)	PMDH2 At5g09660 F17I14.150 F17I14_150
Q9MAJ7	BGAL5_ARATH	reviewed	Beta-galactosidase 5 (Lactase 5) (EC 3.2.1.23)	BGAL5 At1g45130 F27F5.20
Q9S7H1	PSAD1_ARATH	reviewed	Photosystem I reaction center subunit II-1, chloroplastic (Photosystem I 20 kDa subunit 1) (PSI-D1)	psaD1 At4g02770 T5J8.7
Q9SA56	PSAD2_ARATH	reviewed	Photosystem I reaction center subunit II-2, chloroplastic (Photosystem I 20 kDa subunit 2) (PSI-D2)	PSAD2 At1g03130 F10O3_4
Q0WQD2	GAUT3_ARATH	reviewed	Probable galacturonosyltransferase 3 (EC 2.4.1.-)	GAUT3 At4g38270 F22I13.40
Q9T042	PDI54_ARATH	reviewed	Protein disulfide-isomerase 5-4 (AtPDIL5-4) (Protein disulfide-isomerase 7) (PDI7) (Protein disulfide-isomerase 8-2) (AtPDIL8-2)	PDIL5-4 PDI7 PDIL8-2 At4g27080 T24A18.30
P27521	CA4_ARATH	reviewed	Chlorophyll a-b binding protein 4, chloroplastic (LHCI type III CAB-4)	LHCA4 CAB4 At3g47470 F1P2.20
Q42193	Q42193_ARATH	unreviewed	Chlorophyll a-b binding protein, chloroplastic (Fragment)	
Q6LAC7	Q6LAC7_ARATH	unreviewed	Chlorophyll a-b binding protein, chloroplastic (Fragment)	
Q9FPI3	Q9FPI3_ARATH	unreviewed	Chlorophyll a-b binding protein, chloroplastic	At3g47470/F1P2_20
Q9SA88	BBE11_ARATH	reviewed	Berberine bridge enzyme-like 11 (AtBBE-like 11) (EC 1.1.1.-)	At1g30730 T5I8.18
Q6DBD7	Q6DBD7_ARATH	unreviewed	At5g46220 (Transmembrane protein (DUF616)) (Turgor regulation defect 1)	AT5G46220.1 MDE13.4 MDE13_4 At5g46220
Q9FL38	Q9FL38_ARATH	unreviewed	Dbj|BAA96145.1	
Q9FF55	PDI14_ARATH	reviewed	Protein disulfide isomerase-like 1-4 (AtPDIL1-4) (EC 5.3.4.1) (Protein disulfide isomerase 2) (AtPDI2) (Protein disulfide isomerase-like 2-2) (AtPDIL2-2)	PDIL1-4 PDI2 PDIL2-2 At5g60640 MUP24.6
F4JSH1	APY7_ARATH	reviewed	Probable apyrase 7 (AtAPY7) (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (ADPase) (NTPDase) (Nucleoside triphosphate diphosphohydrolase 7)	APY7 At4g19180 T18B16.150
Q38890	GUN25_ARATH	reviewed	Endoglucanase 25 (EC 3.2.1.4) (Cellulase homolog OR16pep) (Endo-1,4-beta glucanase 25) (Protein KORRIGAN) (Protein RADIALLY SWOLLEN 2)	KOR DEC KOR1 RSW2 At5g49720 K2I5.8
C0Z2S7	C0Z2S7_ARATH	unreviewed	Endoglucanase (EC 3.2.1.4)	At5g49720
F4K6F1	GT18_ARATH	reviewed	Xyloglucan galactosyltransferase XLT2 (EC 2.4.1.-) (Glycosyltransferase 18) (AtGT18) (Protein XYLOGLUCAN L-SIDE CHAIN GALACTOSYLTRANSFERASE POSITION 2)	XLT2 GT18 At5g62220 MMI9.5
Q8W460	Q8W460_ARATH	unreviewed	At2g19160 (Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein) (Glycosyltransferase)	At2g19160 AT2G19160 T20K24.18 T20K24_18
O64480	O64480_ARATH	unreviewed	Uncharacterized protein At2g19160	At2g19160
Q9FL78	EXP26_ARATH	reviewed	Putative expansin-A26 (AtEXPA26) (Alpha-expansin-26) (At-EXP26) (AtEx26) (Ath-ExpAlpha-1.16)	EXPA26 EXP26 At5g39290 K3K3.20 K3K3_140
Q9FL80	EXP22_ARATH	reviewed	Expansin-A22 (AtEXPA22) (Alpha-expansin-22) (At-EXP22) (AtEx22) (Ath-ExpAlpha-1.15)	EXPA22 EXP22 At5g39270 K3K3.18 K3K3_120
O22285	PMTB_ARATH	reviewed	Probable methyltransferase PMT11 (EC 2.1.1.-)	At2g39750 T5I7.5
O04567	Y1719_ARATH	reviewed	Probable inactive receptor kinase At1g27190	At1g27190 T7N9.25
C0LGE9	C0LGE9_ARATH	unreviewed	Leucine-rich repeat receptor-like protein kinase (Fragment)	LRR-RLK At1g27190
Q9FZP1	HPSE3_ARATH	reviewed	Heparanase-like protein 3 (EC 3.2.-.-)	At5g34940 MGG23.2 T2L5.6 T2L5.7
Q9LQU1	Q9LQU1_ARATH	unreviewed	F10B6.30	
Q1PEF8	INV2_ARATH	reviewed	Beta-fructofuranosidase, insoluble isoenzyme CWINV2 (EC 3.2.1.26) (Cell wall beta-fructosidase 2) (AtbetaFRUCT2) (Cell wall invertase 2) (AtcwINV2) (Sucrose hydrolase 2)	CWINV2 BFRUCT2 At3g52600 F22O6.20 F3C22.4
B6EUC9	B6EUC9_ARATH	unreviewed	Cell wall invertase 2	CWINV2 AtCWIN2 AtcwINV2 cell wall invertase 2 At3g52600 F3C22.4
Q6NPM5	ATS3B_ARATH	reviewed	Embryo-specific protein ATS3B (Protein ARABIDOPSIS THALIANA SEED 3B)	ATS3B At5g62200 MMI9.3
Q9CA10	Q9CA10_ARATH	unreviewed	Plant invertase/pectin methylesterase inhibitor superfamily protein	T1G12.3 At3g49330
Q9M3A0	Q9M3A0_ARATH	unreviewed	Plant invertase/pectin methylesterase inhibitor superfamily protein	F2K15.190 At3g49330
Q9FWA4	GAUT9_ARATH	reviewed	Probable galacturonosyltransferase 9 (EC 2.4.1.-)	GAUT9 At3g02350 F11A12.4 F11A12_103
Q56WS2	Q56WS2_ARATH	unreviewed	Hexosyltransferase (EC 2.4.1.-) (Fragment)	At3g02350
O22149	PME17_ARATH	reviewed	Probable pectinesterase/pectinesterase inhibitor 17 [Includes: Pectinesterase inhibitor 17 (Pectin methylesterase inhibitor 17); Pectinesterase 17 (PE 17) (EC 3.1.1.11) (Pectin methylesterase 17) (AtPME17)]	PME17 ARATH17 At2g45220 F4L23.27
Q43288	Q43288_ARATH	unreviewed	Pectinesterase (EC 3.1.1.11) (Fragment)	
O82318	Y2579_ARATH	reviewed	Probably inactive leucine-rich repeat receptor-like protein kinase At2g25790	At2g25790 F17H15.18
Q9ZVA4	EP1L3_ARATH	reviewed	EP1-like glycoprotein 3 (Curculin-like (Mannose-binding) lectin family protein) (Putative receptor-like protein kinase-like protein)	At1g78850 F9K20.10
Q9ZVA5	EP1L4_ARATH	reviewed	EP1-like glycoprotein 4 (Curculin-like (Mannose-binding) lectin family protein)	At1g78860 F9K20.9
Q9M658	MOM1_ARATH	reviewed	Helicase protein MOM1 (EC 3.6.4.-) (Protein MAINTENANCE OF METHYLATION) (Protein MORPHEUS MOLECULE 1)	MOM1 MOM At1g08060 T6D22.14
Q680I5	GAGT2_ARATH	reviewed	Glutathione hydrolase 2 (EC 3.4.19.13) (Gamma-glutamyltransferase 2) (Gamma-glutamyltranspeptidase 2) (EC 2.3.2.2)	GGT2 At4g39650 T19P19.40
Q39078	Q39078_ARATH	unreviewed	Gamma-glutamyl transpeptidase	D22
Q8VYW6	GAGT1_ARATH	reviewed	Glutathione hydrolase 1 (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (EC 2.3.2.2)	GGT1 At4g39640 T19P19.30
Q9SZH2	PER43_ARATH	reviewed	Peroxidase 43 (Atperox P43) (EC 1.11.1.7)	PER43 P43 At4g25980 F14M9.7 F20B18.90
Q8L8L5	Q8L8L5_ARATH	unreviewed	Phytocyanin domain-containing protein	
Q9LJU1	Q9LJU1_ARATH	unreviewed	At3g20570 (Early nodulin-like protein 9) (Predicted GPI-anchored protein)	ENODL9 AtENODL9 early nodulin-like protein 9 At3g20570
Q9LT87	Q9LT87_ARATH	unreviewed	At3g19300 (Protein kinase superfamily protein)	At3g19300
O80623	Y2393_ARATH	reviewed	Probable receptor-like protein kinase At2g39360 (EC 2.7.11.-)	At2g39360 F12L6.2
F4I037	TBL7_ARATH	reviewed	Protein trichome berefringence-like 7	TBL7 At1g48880 F27K7.9
